id,title,original_title,production_countries,overview,tagline,release_date,original_language,genres,runtime,budget,revenue,cast,vote_average,director,keywords
20914,Habitación para cuatro,Amici miei,['Italy'],"Cuatro amigos cincuentones, que llevan toda la vida juntos, se pasan el día organizando bromas pesadas para burlarse de los demás. Son el periodista Giorgio Perozzi, perseguido por la reprobación de su hijo y su ex-mujer; el arquitecto Rambaldo Melandri, sensible a los asuntos del corazón; el barman Guido Necchi, propietario del bar en el que el grupo se reúne cada noche; y el conde Mascetti, un noble venido a menos, obligado a vivir en un sótano, que no tiene ningún escrúpulo a la hora de alejar a su mujer y su hija para disfrutar de una relación clandestina con su joven amante, Titti. Todos ellos, conscientes de que les ayuda a seguir unidos, recurren a las bromas para prolongar su juventud y defenderse de las penas de la vida.",,1975-10-24,it,Comedia,109,0,0,"['Ugo Tognazzi', 'Gastone Moschin', 'Philippe Noiret']",8.1,Mario Monicelli,"['joke', 'male friendship', 'tuscany, italy', 'goliardia']"
67568,新仁義なき戦い 組長の首,新仁義なき戦い 組長の首,['Japan'],,,1975-11-01,ja,"Acción, Crimen, Drama",94,0,0,"['Bunta Sugawara', 'Meiko Kaji', 'Tsunehiko Watase']",6.933,Kinji Fukasaku,"['yakuza', 'gang war']"
60808,Flame,Flame,['United Kingdom'],,,1975-02-13,en,"Drama, Música",91,0,0,"['Don Powell', 'Jim Lea', 'Noddy Holder']",7.2,Richard Loncraine,"['musical', 'glam rock']"
88631,洪拳小子,洪拳小子,"['Hong Kong', 'Taiwan']",,,1975-06-28,zh,"Acción, Crimen",106,0,0,"['Alexander Fu Sheng', 'Chi Kuan-Chun', 'Chen Ming-Li']",6.7,Chang Cheh,[]
252966,The Daughters of Joshua Cabe Return,The Daughters of Joshua Cabe Return,['United States of America'],,,1975-01-28,en,"Comedia, Western, Película de TV",74,0,0,"['Dan Dailey', 'Dub Taylor', 'Ronne Troup']",5.5,David Lowell Rich,"['prostitute', 'pickpocket', 'ransom', 'kidnapping', 'sequel', 'catfight', 'failed tv pilot']"
235374,A Haunted Turkish Bathhouse,怪猫トルコ風呂,['Japan'],"A Haunted Turkish Bathhouse son 90 minutos de tetas, violencia, horror sobrenatural que no da miedo, partitura funky, puestas de sol apocalípticas ocasionales y ataques de gatos sangrientos. Es una película divertida y nunca aburrida, pero no es tan descabellada como uno desearía, especialmente si se compara con el increíble Wolfguy. Considéralo el estilo House-lite de Yamaguchi, Toei Porno.",,1975-01-29,ja,"Terror, Romance, Comedia, Crimen, Drama",82,0,0,"['Naomi Tani', 'Ohara Misa', 'Tomoko Mayama']",5.8,Kazuhiko Yamaguchi,['pink film']
38314,92 in the Shade,92 in the Shade,"['United Kingdom', 'United States of America']",,,1975-08-22,en,"Comedia, Drama",93,0,0,"['Peter Fonda', 'Warren Oates', 'Margot Kidder']",5.4,Thomas McGuane,"['florida', 'fishing', 'feud', 'drifter']"
337840,La leyenda de Valentino,The Legend of Valentino,['United States of America'],"Narra la historia de la estrella del cine mudo Rodolfo Valentino, el sex symbol latino que murió prematuramente en 1926. (FILMAFFINITY)",,1975-11-23,en,"Drama, Película de TV",100,0,0,"['Franco Nero', 'Suzanne Pleshette', 'Judd Hirsch']",5.5,Melville Shavelson,['biography']
200331,Ruta hacia el pánico,Journey into Fear,[],"Remake de la película de 1942 Estambul, dirigida por Norman Foster (y Orson Welles sin acreditar). La intriga internacional se desarrolla en Turquía y dispone como protagonista de un despistado geólogo americano que sin desearlo se ve involucrado en una rocambolesca pesadilla, consciente de estar señalado por la muerte. Entre amigos y enemigos dificilmente reconocibles, la odisea de un ser común cobra trazos de lucha por la supervivencia.",,1975-08-08,en,Suspense,100,2500000,0,"['Sam Waterston', 'Zero Mostel', 'Yvette Mimieux']",5.6,Daniel Mann,"['based on novel or book', 'oil', 'geologist', 'ship passengers']"
76293,忠烈圖,忠烈圖,"['Hong Kong', 'Taiwan']",,,1975-02-19,zh,"Aventura, Acción",102,0,137027,"['Roy Chiao', 'Pai Ying', 'Hsu Feng']",6.8,King Hu,"['pirate', 'wuxia', 'chivalry']"
142064,"It's a Bird, It's a Plane, It's Superman!","It's a Bird, It's a Plane, It's Superman!",['United States of America'],,,1975-02-21,en,"Comedia, Película de TV, Ciencia ficción, Acción, Música",92,0,0,"['David Wilson', 'Lesley Ann Warren', 'David Wayne']",4.0,Jack Regas,"['superhero', 'musical', 'based on play or musical', 'based on comic', 'super power', 'broadway musical', 'superhuman strength']"
44926,Divina criatura,Divina creatura,['Italy'],"El duque Daniele (Terence Stamp), ha quedado prendado de Manoela Roderighi (Laura Antonelli) cuando la conoce en un restaurante a donde ésta ha ido a cenar junto a su novio Martino (Michele Placido). Tras haberla convertido en su amante, el duque va a enterarse de que su chica frecuenta un burdel donde es solicitada por un hombre al que él va a querer conocer.",,1975-10-16,it,"Romance, Drama",115,0,0,"['Laura Antonelli', 'Terence Stamp', 'Marcello Mastroianni']",5.5,Giuseppe Patroni Griffi,['italy']
32051,Carrera con el Diablo,Race with the Devil,['United States of America'],"Dos matrimonios, que planean pasar unos día de camping a bordo de una roulote, presencian e interrumpen un ritual satánico. Una vez denunciados los hechos al Sheriff, que no les hace ningún caso, son perseguidos por los esbirros del diablo.",,1975-06-01,en,"Acción, Terror, Suspense",78,0,0,"['Peter Fonda', 'Warren Oates', 'Loretta Swit']",6.4,Jack Starrett,['satanic cult']
76636,Xala,Xala,['Senegal'],"El rico hombre de negocios El Hadji Abdoukader Beye celebra matrimonio con la tercera de sus esposas. La noche de bodas, para su espanto, descubre que ha caído sobre él la Xala, maleficio que le provoca impotencia sexual. A partir de ahí, la vida de El Hadji es trastornada. De una parte, necesita buscar alguna cura e incluso los negocios comienzan a hundirse.",,1975-10-01,wo,Comedia,123,0,0,"['Thierno Leye', 'Myriam Niang', 'Seune Samb']",6.8,Ousmane Sembène,"['impotence', 'polygamy', 'senegal', 'curse', 'wedding', 'political satire', 'public humiliation', 'political corruption', 'karma']"
289695,Cuidado con el payaso,Attenti al buffone,['Italy'],"Marcello es un hombre sencillo, un músico y un padre que ""vive por y para el calor de los afectos"". Está casado con Giulia, una mujer que no puede obtener satisfacción de la vida, con quien tuvo dos hijos. Mientras él está fuera de casa, Giulia es codiciada por el grosero Cesare, un hombre sin escrúpulos y ex-oficial fascista. El hombre, aprovechando el constante estado de inquietud de la mujer, intenta conquistarla y obtener la anulación del matrimonio. A su regreso a casa, Marcello la encuentra vacía: su esposa lo dejó llevandose a los niños...",,1975-10-19,it,"Comedia, Drama",100,0,0,"['Nino Manfredi', 'Mariangela Melato', 'Eli Wallach']",4.5,Alberto Bevilacqua,['ruler']
530336,昭和枯れすすき,昭和枯れすすき,['Japan'],,,1975-06-07,ja,"Crimen, Drama",87,0,0,"['Hideki Takahashi', 'Kumiko Akiyoshi', 'Shino Ikenami']",6.0,Yoshitarō Nomura,"['double life', 'suspicion of murder', 'tokyo, japan', 'police detective', 'older brother younger sister', 'living with sibling', 'shōwa era (1926-89)', 'tokyo']"
5618,"Primo, prima","Cousin, Cousine",['France'],"Dos primos lejanos se conocen en una boda de la familia. Entre ellos surge en seguida una buena amistad, pero pronto sus respectivos esposo y esposa empezarán a sospechar de que son algo más que amigos.",,1975-11-19,fr,"Comedia, Romance",95,0,0,"['Marie-Christine Barrault', 'Victor Lanoux', 'Marie-France Pisier']",6.158,Jean-Charles Tacchella,"['friendship', 'funeral', 'cousin', 'family relationships', 'swimming pool', 'wedding', 'dance teacher']"
804506,The Silence,The Silence,['United States of America'],,,1975-11-06,en,"Drama, Película de TV",74,0,0,"['Richard Thomas', 'Cliff Gorman', 'George Hearn']",0.0,Joseph Hardy,"['discipline', 'west point', 'military school']"
453746,Muppet Picker Upper,Muppet Picker Upper,['United States of America'],,,1975-01-01,en,Comedia,9,0,0,"['Fran Brill', 'Dave Goelz', 'Jim Henson']",0.0,Jim Henson,"['puppet', 'puppetry', 'puppet-comedy', 'jim henson', 'muppets', 'kermit the frog']"
395271,Four Quadrant Exercise,Four Quadrant Exercise,['United States of America'],,,1975-04-29,en,Animación,3,0,0,[],0.0,Al Jarnow,"['mozart', 'black and white', 'short film']"
76233,I Wonder Who's Killing Her Now?,I Wonder Who's Killing Her Now?,[],,,1975-12-01,en,Comedia,87,0,0,"['Bob Dishy', 'Joanna Barnes', 'Bill Dana']",2.833,Steven Hilliard Stern,[]
390889,L'educanda,L'educanda,['Italy'],"Patrizia, de dieciocho años de edad, después del año escolar en la universidad, regresó a su país siendo acogida por su abuela y redescubrió a sus novias de la infancia. En virtud de su animado carácter, se arregla para sí misma y para sus amigos un salón de baile en un cobertizo propiedad de un notario, quien, decidida a derribar la estructura, pide a las autoridades que desalojen a los jóvenes del edificio. La niña y sus tres novias desinhibidas, educadas por Marilena (una prostituta también llamada ""la boloñesa"") logran arrinconar al Concejo Municipal seduciendo a sus miembros: el estancista, El fotógrafo y el carnicero. Incluso ayudan a las niñas a documentar las malas acciones del notario traidor y su hermano abogado.",,1975-01-07,it,"Comedia, Romance",90,0,0,"['Patrizia Gori', ""Umberto D'Orsi"", 'Gabriella Giorgelli']",3.5,Franco Lo Cascio,['seduction']
61226,El incorregible,L'Incorrigible,['France'],"A Victor Vauthier parece que la suerte le ha vuelto la espalda. El día que sale de prisión, después de tres meses de arresto, sólo se encuentra con desgracias: vende el apartamento de su ex amante y pierde el dinero en las carreras, trata de vender un yate, que se hunde con el comprador a bordo; intenta consolar a la mujer del presunto ahogado y el marido los encuentra en la cama. Marie-Charlotte, la asistenta social que debe ayudarle a integrarse en la sociedad es, casualmente, la hija del conservador de un museo que alberga un valiosísimo tríptico de El Greco. Víctor llega a la conclusión de que sólo poseyendo tan valiosa obra de arte podrá alcanzar la reinserción social.",,1975-10-15,fr,"Comedia, Crimen",100,0,0,"['Jean-Paul Belmondo', 'Geneviève Bujold', 'Julien Guiomar']",6.186,Philippe de Broca,[]
260713,Lecciones privadas,Lezioni private,['Italy'],Una sexy profesora de piano es el objeto del deseo de uno de sus alumnos. Un compañero averigua dónde vive y toma fotos de ella desnuda. Utiliza las fotos para chantajearla y pedirle que se vista y actúe como una puta mientras da clase.,,1975-11-03,it,Comedia,95,0,0,"['Carroll Baker', 'Ron', 'Leonora Fani']",5.4,Vittorio De Sisti,"['blackmail', 'schoolteacher', 'sex comedy', 'erotic movie']"
384365,金環蝕,金環蝕,['Japan'],,,1975-09-06,ja,Drama,154,0,0,"['Tatsuya Nakadai', 'Jūkichi Uno', 'Rentaro Mikuni']",6.8,Satsuo Yamamoto,"['based on novel or book', 'bribery', 'political corruption']"
609729,Rani aur Lalpari,Rani aur Lalpari,['India'],,,1975-01-01,hi,Música,135,0,0,"['Baby Raani', 'Rajendra Kumar', 'Jeetendra']",8.0,Ravikant Nagaich,[]
39554,El hombre de bronce,Doc Savage: The Man of Bronze,['United States of America'],"Adaptación de un popular cómic de Lester Dent. Clark ""Doc"" Savage Jr. es un maestro en la lucha contra el crimen y al tiempo un brillante científico. En esta aventura, Clark recibe la noticia de que su padre ha fallecido de una rara enfermedad en la República de Hidalgo, en Sudamérica.",,1975-06-01,en,Aventura,100,0,0,"['Ron Ely', 'Paul Gleason', 'William Lucking']",4.9,Michael Anderson,['campy']
